num	date	subjStartTime	trialNum	facingDir	stimName	background	inView	imagAdj	rt
1	2021-11-22	22:37:11	1	right	chair/Chair_Black_R.png	background/sea_adjusted.png	true	-153	4.805
1	2021-11-22	22:37:11	2	left	averted_gaze/YC_L2_small.png	background/grassfield_adjusted.png	true	222	2.907
1	2021-11-22	22:37:11	3	left	averted_gaze/YC_L2_small.png	background/sea_adjusted.png	true	195	4.329
1	2021-11-22	22:37:11	4	right	chair/Chair_R_small.png	background/sea_adjusted.png	true	-167	4.501
1	2021-11-22	22:37:11	5	right	averted_gaze/CC_R2_small.png	background/sea_adjusted.png	true	-193	2.691
1	2021-11-22	22:37:11	6	right	chair/Chair_Black_R.png	background/grassfield_adjusted.png	true	-137	3.177
1	2021-11-22	22:37:11	7	left	chair/Chair_L_small.png	background/grassfield_adjusted.png	true	204	2.528
1	2021-11-22	22:37:11	8	right	averted_gaze/YC_R2_small.png	background/sea_adjusted.png	true	-205	2.543
1	2021-11-22	22:37:11	9	left	chair/Chair_Black_L.png	background/grassfield_adjusted.png	true	-3	2.346
1	2021-11-22	22:37:11	10	left	averted_gaze/CC_L2_small.png	background/sea_adjusted.png	true	214	2.615
1	2021-11-22	22:37:11	11	right	averted_gaze/YC_R2_small.png	background/grassfield_adjusted.png	true	-240	3.267
1	2021-11-22	22:37:11	12	left	averted_gaze/CC_L2_small.png	background/grassfield_adjusted.png	true	229	2.45
1	2021-11-22	22:37:11	13	right	chair/Chair_R_small.png	background/grassfield_adjusted.png	true	-189	1.948
1	2021-11-22	22:37:11	14	left	chair/Chair_L_small.png	background/sea_adjusted.png	true	228	1.764
1	2021-11-22	22:37:11	15	left	chair/Chair_Black_L.png	background/sea_adjusted.png	true	249	1.641
1	2021-11-22	22:37:11	16	right	averted_gaze/CC_R2_small.png	background/grassfield_adjusted.png	true	-246	1.796
num	date	subjStartTime	trialNum	facingDir	stimName	background	inView	imagAdj	rt
2	2021-11-22	23:03:56	1	left	chair/Chair_L_small.png	background/sea_adjusted.png	true	246	7.725
2	2021-11-22	23:03:56	2	left	chair/Chair_Black_L.png	background/grassfield_adjusted.png	true	143	2.975
2	2021-11-22	23:03:56	3	left	chair/Chair_L_small.png	background/grassfield_adjusted.png	true	172	5.484
